filename,s_sharp,s_comp,raw_score,rating,vetoed,veto_reason,n_detections,burst_group
DSC02406.heif,0.604947,0.709123,2.680229,-1,1,raw=2.680 < min_raw=3.100 (cut penalty applied? False),1,101
DSC02407.heif,0.577231,0.941529,2.619667,-1,1,raw=2.620 < min_raw=3.100 (cut penalty applied? True),1,101
DSC02408.heif,0.617396,0.696134,2.666428,-1,1,raw=2.666 < min_raw=3.100 (cut penalty applied? False),1,101
DSC02409.heif,0.764619,0.866212,3.312457,1,0,,1,101
DSC02410.heif,0.753843,0.911286,3.408978,2,0,,1,101
DSC02411.heif,0.507130,0.754701,2.647448,-1,1,raw=2.647 < min_raw=3.100 (cut penalty applied? False),2,101
DSC02413.heif,0.477858,0.718864,2.513946,-1,1,raw=2.514 < min_raw=3.100 (cut penalty applied? False),1,102
DSC02414.heif,0.886995,0.910623,3.607050,2,0,,1,102
DSC02415.heif,0.994429,0.916874,3.783829,2,0,,1,102
DSC02416.heif,0.809522,0.782736,3.171123,1,0,,1,102
DSC02417.heif,0.792125,0.896722,3.429993,2,0,,1,102
DSC02418.heif,0.771782,0.919447,3.456289,2,0,,1,102
DSC02419.heif,0.501359,0.753654,2.636173,-1,1,raw=2.636 < min_raw=3.100 (cut penalty applied? False),2,102
DSC02422.heif,0.528029,0.850840,2.919144,-1,1,raw=2.919 < min_raw=3.100 (cut penalty applied? False),1,103
DSC02423.heif,0.391904,0.793581,2.571809,-1,1,raw=2.572 < min_raw=3.100 (cut penalty applied? False),1,103
DSC02437.heif,0.553574,0.834158,2.915756,-1,1,raw=2.916 < min_raw=3.100 (cut penalty applied? False),1,103
DSC02449.heif,0.606627,0.885009,3.122463,1,0,,1,103
DSC02452.heif,0.627107,0.686964,2.658071,-1,1,raw=2.658 < min_raw=3.100 (cut penalty applied? False),2,104
DSC02453.heif,0.637359,0.952833,2.738121,-1,1,raw=2.738 < min_raw=3.100 (cut penalty applied? True),2,104
DSC02457.heif,0.697707,0.762560,2.952961,-1,1,raw=2.953 < min_raw=3.100 (cut penalty applied? False),3,105
DSC02459.heif,0.640276,0.590424,2.436476,-1,1,raw=2.436 < min_raw=3.100 (cut penalty applied? False),1,105
DSC02460.heif,0.747360,0.704673,2.882723,-1,1,raw=2.883 < min_raw=3.100 (cut penalty applied? False),1,105
DSC02461.heif,0.719019,0.714869,2.865701,-1,1,raw=2.866 < min_raw=3.100 (cut penalty applied? False),1,105
DSC02462.heif,0.596609,0.912803,3.176920,1,0,,1,105
DSC02464.heif,0.640141,0.663130,2.618035,-1,1,raw=2.618 < min_raw=3.100 (cut penalty applied? False),1,106
DSC02467.heif,0.513466,0.804721,2.782002,-1,1,raw=2.782 < min_raw=3.100 (cut penalty applied? False),1,106
DSC02468.heif,0.632034,0.816536,2.989391,-1,1,raw=2.989 < min_raw=3.100 (cut penalty applied? False),1,106
