filename,s_sharp,s_comp,raw_score,rating,vetoed,veto_reason,n_detections,burst_group
DSC03283.heif,0.000000,0.454780,0.536950,-1,1,sharpness=0.000 < threshold=0.050,1,229
DSC03284.heif,0.000000,0.454823,0.537057,-1,1,sharpness=0.000 < threshold=0.050,3,230
DSC03286.heif,0.178328,0.571696,1.096732,-1,1,raw=1.097 < min_raw=3.100 (cut penalty applied? True),2,231
DSC03287.heif,0.009351,0.750227,1.289594,-1,1,sharpness=0.009 < threshold=0.050,8,232
DSC03290.heif,0.388519,0.546339,1.348626,-1,1,raw=1.349 < min_raw=3.100 (cut penalty applied? True),1,233
DSC03291.heif,0.000000,0.475228,0.588069,-1,1,sharpness=0.000 < threshold=0.050,1,234
DSC03292.heif,0.054834,0.419294,0.530486,-1,1,raw=0.530 < min_raw=3.100 (cut penalty applied? True),1,235
DSC03293.heif,0.000000,0.719978,1.199945,-1,1,sharpness=0.000 < threshold=0.050,2,235
DSC03294.heif,1.000000,0.488219,2.720548,-1,1,raw=2.721 < min_raw=3.100 (cut penalty applied? False),1,236
DSC03295.heif,0.105855,0.613537,1.092625,-1,1,raw=1.093 < min_raw=3.100 (cut penalty applied? True),1,236
DSC03296.heif,1.000000,0.436948,2.592370,-1,1,raw=2.592 < min_raw=3.100 (cut penalty applied? False),1,236
DSC03297.heif,0.108011,0.560842,0.964121,-1,1,raw=0.964 < min_raw=3.100 (cut penalty applied? True),1,236
DSC03298.heif,0.108665,0.654525,1.799311,-1,1,raw=1.799 < min_raw=3.100 (cut penalty applied? False),4,236
DSC03299.heif,0.107725,0.594574,1.048022,-1,1,raw=1.048 < min_raw=3.100 (cut penalty applied? True),2,236
DSC03300.heif,0.106763,0.355126,0.447959,-1,1,raw=0.448 < min_raw=3.100 (cut penalty applied? True),4,236
DSC03301.heif,0.276674,0.562308,1.220781,-1,1,raw=1.221 < min_raw=3.100 (cut penalty applied? True),1,237
DSC03302.heif,0.130861,0.580684,1.048000,-1,1,raw=1.048 < min_raw=3.100 (cut penalty applied? True),2,237
DSC03303.heif,0.205988,0.851774,2.438417,-1,1,raw=2.438 < min_raw=3.100 (cut penalty applied? False),1,237
DSC03304.heif,0.277609,0.547276,1.784604,-1,1,raw=1.785 < min_raw=3.100 (cut penalty applied? False),1,237
DSC03305.heif,0.355676,0.475372,1.721943,-1,1,raw=1.722 < min_raw=3.100 (cut penalty applied? False),1,237
DSC03306.heif,0.564928,0.525221,2.160444,-1,1,raw=2.160 < min_raw=3.100 (cut penalty applied? False),1,238
DSC03307.heif,0.468521,0.374156,1.638172,-1,1,raw=1.638 < min_raw=3.100 (cut penalty applied? False),1,238
DSC03308.heif,0.138103,0.488327,1.427971,-1,1,raw=1.428 < min_raw=3.100 (cut penalty applied? False),1,239
DSC03309.heif,0.136426,0.596506,1.095905,-1,1,raw=1.096 < min_raw=3.100 (cut penalty applied? True),1,239
DSC03310.heif,0.421166,0.874841,2.218851,-1,1,raw=2.219 < min_raw=3.100 (cut penalty applied? True),1,239
DSC03311.heif,0.441811,0.647603,1.681723,-1,1,raw=1.682 < min_raw=3.100 (cut penalty applied? True),1,239
DSC03312.heif,0.424780,0.659909,1.686942,-1,1,raw=1.687 < min_raw=3.100 (cut penalty applied? True),1,239
DSC03313.heif,0.129059,0.000000,0.193589,-1,1,no_detection,0,239
DSC03314.heif,0.129123,0.000000,0.193685,-1,1,no_detection,0,239
DSC03315.heif,1.000000,0.493911,2.134777,-1,1,raw=2.135 < min_raw=3.100 (cut penalty applied? True),7,240
DSC03316.heif,1.000000,0.471722,2.079304,-1,1,raw=2.079 < min_raw=3.100 (cut penalty applied? True),6,240
DSC03317.heif,0.855917,0.581536,2.137715,-1,1,raw=2.138 < min_raw=3.100 (cut penalty applied? True),2,241
DSC03318.heif,1.000000,0.608324,2.420811,-1,1,raw=2.421 < min_raw=3.100 (cut penalty applied? True),1,241
DSC03319.heif,0.523737,0.619151,1.733483,-1,1,raw=1.733 < min_raw=3.100 (cut penalty applied? True),4,241
DSC03320.heif,0.574335,0.688585,1.982964,-1,1,raw=1.983 < min_raw=3.100 (cut penalty applied? True),4,241
DSC03321.heif,0.740407,0.691446,2.239226,-1,1,raw=2.239 < min_raw=3.100 (cut penalty applied? True),3,241
DSC03322.heif,0.928870,0.676688,2.485026,-1,1,raw=2.485 < min_raw=3.100 (cut penalty applied? True),8,242
DSC03323.heif,0.655362,0.778556,2.329434,-1,1,raw=2.329 < min_raw=3.100 (cut penalty applied? True),5,242
DSC03324.heif,0.509070,0.835364,2.252016,-1,1,raw=2.252 < min_raw=3.100 (cut penalty applied? True),8,242
DSC03325.heif,0.466891,0.718583,2.496795,-1,1,raw=2.497 < min_raw=3.100 (cut penalty applied? False),6,242
DSC03326.heif,0.708943,0.531718,2.392709,-1,1,raw=2.393 < min_raw=3.100 (cut penalty applied? False),10,242
DSC03327.heif,0.750313,0.555787,1.914936,-1,1,raw=1.915 < min_raw=3.100 (cut penalty applied? True),8,242
DSC03328.heif,0.065343,0.682489,1.204237,-1,1,raw=1.204 < min_raw=3.100 (cut penalty applied? True),2,243
DSC03329.heif,0.020409,0.741848,1.285234,-1,1,sharpness=0.020 < threshold=0.050,3,243
DSC03330.heif,0.239559,0.543044,1.116948,-1,1,raw=1.117 < min_raw=3.100 (cut penalty applied? True),2,243
DSC03331.heif,0.034803,0.786768,1.419125,-1,1,sharpness=0.035 < threshold=0.050,5,243
DSC03332.heif,0.034644,0.584510,0.913241,-1,1,sharpness=0.035 < threshold=0.050,5,243
DSC03333.heif,0.013490,0.607668,1.539406,-1,1,sharpness=0.013 < threshold=0.050,3,243
DSC03334.heif,0.060934,0.750252,1.367031,-1,1,raw=1.367 < min_raw=3.100 (cut penalty applied? True),4,243
DSC03335.heif,0.030707,0.768845,1.368173,-1,1,sharpness=0.031 < threshold=0.050,3,243
DSC03336.heif,0.016888,0.748983,1.297789,-1,1,sharpness=0.017 < threshold=0.050,2,243
DSC03337.heif,0.297990,0.414845,0.884097,-1,1,raw=0.884 < min_raw=3.100 (cut penalty applied? True),4,243
DSC03338.heif,1.000000,0.717698,3.294245,1,0,,11,244
DSC03339.heif,1.000000,0.717055,3.292637,1,0,,10,244
DSC03340.heif,0.715291,0.719789,2.272409,-1,1,raw=2.272 < min_raw=3.100 (cut penalty applied? True),12,244
DSC03341.heif,0.907783,0.662252,3.017303,-1,1,raw=3.017 < min_raw=3.100 (cut penalty applied? False),10,244
DSC03342.heif,0.885884,0.673802,2.413331,-1,1,raw=2.413 < min_raw=3.100 (cut penalty applied? True),12,244
DSC03343.heif,0.803239,0.687166,2.922772,-1,1,raw=2.923 < min_raw=3.100 (cut penalty applied? False),6,244
DSC03344.heif,0.510342,0.650013,2.390545,-1,1,raw=2.391 < min_raw=3.100 (cut penalty applied? False),8,244
DSC03345.heif,0.532439,0.681084,2.501368,-1,1,raw=2.501 < min_raw=3.100 (cut penalty applied? False),7,244
DSC03346.heif,1.000000,0.739035,3.347588,1,0,,13,244
DSC03347.heif,0.596624,0.596868,1.787106,-1,1,raw=1.787 < min_raw=3.100 (cut penalty applied? True),10,244
DSC03348.heif,1.000000,0.572354,2.930886,-1,1,raw=2.931 < min_raw=3.100 (cut penalty applied? False),8,244
DSC03349.heif,0.662579,0.743317,2.852161,-1,1,raw=2.852 < min_raw=3.100 (cut penalty applied? False),5,244
DSC03350.heif,0.740309,0.643830,2.720037,-1,1,raw=2.720 < min_raw=3.100 (cut penalty applied? False),5,244
DSC03351.heif,0.790501,0.710029,2.960826,-1,1,raw=2.961 < min_raw=3.100 (cut penalty applied? False),6,244
DSC03352.heif,0.937556,0.747188,3.274304,1,0,,5,244
DSC03353.heif,1.000000,0.716627,3.291567,1,0,,4,244
DSC03354.heif,0.596656,0.671145,2.572848,-1,1,raw=2.573 < min_raw=3.100 (cut penalty applied? False),5,244
DSC03355.heif,0.328205,0.868551,2.663686,-1,1,raw=2.664 < min_raw=3.100 (cut penalty applied? False),1,245
DSC03356.heif,0.429568,0.760689,2.546076,-1,1,raw=2.546 < min_raw=3.100 (cut penalty applied? False),1,245
